,Id,Player,G,A,PTS,Season,Team_against,Team_for
3,311143,13 Marek Smetana (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
4,311143,17 Jan Rotta (U),2,0,2,2021/2022,FBC Mobydick Praha,J.B.M. Praha
5,311143,20 Tomáš Hájek (U),0,1,1,2021/2022,FBC Mobydick Praha,J.B.M. Praha
6,311143,76 Jakub Rokos (U),2,1,3,2021/2022,FBC Mobydick Praha,J.B.M. Praha
0,311148,5 Adam Bečka (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
1,311148,6 Filip Lank (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
2,311148,10 Michal Pešata (U),0,1,1,2021/2022,FBC Mobydick Praha,FbK Neveklov
3,311148,12 Martin Vocl (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
4,311148,15 Radek Šobíšek (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
5,311148,18 Jan Kárník (U),1,0,1,2021/2022,FBC Mobydick Praha,FbK Neveklov
6,311148,24 Martin Páv (O),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
7,311148,68 Marcel Hrůša (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
8,311148,77 Petr Kárník (U),0,0,0,2021/2022,FBC Mobydick Praha,FbK Neveklov
0,314037,5 Bedřich Roskovec (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
1,314037,13 Vojtěch Buřič (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
2,314037,21 Petr Kuška (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
3,314037,23 Josef Adamík (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
4,314037,28 Filip Kovář (U),1,0,1,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
5,314037,57 Vojtěch Mlnářík (U),0,3,3,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
6,314037,58 Daniel Drake (U),2,0,2,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
7,314037,72 Jan Mucha (O),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
8,314037,90 Dominik Havel (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
9,314037,95 Daniel Fišer (O),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
10,314037,96 Martin Murín (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
0,320254,2 Martin Šudoma (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
1,320254,3 Mikuláš Žížala (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
2,320254,25 Mirek Svoboda (O),1,0,1,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
3,320254,26 Tomáš Pažout (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
4,320254,32 Martin Vacenovský (U),1,0,1,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
5,320254,47 Tomáš Novotný (O),1,0,1,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
6,320254,88 Ernest Kerekeš (U),0,1,1,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
7,320254,91 Karel Mudruňka (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
8,320254,92 Kryštof Rossmann (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
9,320254,97 Václav Mudruňka (O),0,2,2,2021/2022,FBC Mobydick Praha,FBC YOUNG BOYS
0,320253,5 Petr Šimek (U),0,1,1,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
1,320253,6 Ondřej Krejza (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
2,320253,10 Ondřej Havlena (U),0,1,1,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
3,320253,21 Petr Vinopal (U),2,0,2,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
4,320253,27 Jaroslav Biskup (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
5,320253,42 Michael Tomášek (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
6,320253,79 Jakub Trmota (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
7,320253,90 Ondřej Málek (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
8,320253,91 Tomáš Kotrba (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
9,320253,92 Jan Rázga (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Hornets Praha
0,322546,8 Michal Staníček (U),0,1,1,2021/2022,FBC Mobydick Praha,J.B.M. Praha
1,322546,9 Petr Melník (U),1,1,2,2021/2022,FBC Mobydick Praha,J.B.M. Praha
2,322546,12 Ondřej Rosický (U),1,0,1,2021/2022,FBC Mobydick Praha,J.B.M. Praha
3,322546,13 Marek Smetana (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
4,322546,17 Jan Rotta (U),1,1,2,2021/2022,FBC Mobydick Praha,J.B.M. Praha
5,322546,19 Tomáš Postler (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
6,322546,20 Tomáš Hájek (U),1,0,1,2021/2022,FBC Mobydick Praha,J.B.M. Praha
7,322546,22 Luboš Dopita (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
8,322546,66 Roman Hergl (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
9,322546,76 Jakub Rokos (U),0,0,0,2021/2022,FBC Mobydick Praha,J.B.M. Praha
0,322544,5 Bedřich Roskovec (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
1,322544,13 Vojtěch Buřič (U),1,0,1,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
2,322544,28 Filip Kovář (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
3,322544,43 Ondřej Šereda (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
4,322544,57 Vojtěch Mlnářík (U),1,0,1,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
5,322544,58 Daniel Drake (U),0,1,1,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
6,322544,90 Dominik Havel (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
7,322544,95 Daniel Fišer (O),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
8,322544,96 Martin Murín (U),0,0,0,2021/2022,FBC Mobydick Praha,TEXAS LONGHORNS B
